"setores" "faixa_temporal_por_setores" "coeficiente_B" "sse" "volatilidade" "tamanho_serie" "b_volatilidade"
"Consumo Cíclico / Tecid Vest Calç" "2010" 3.771 0.0212218129006045 0.35458315615462 50 1.33713308185907
"Mats Básicos / Mineração" "2010" 0.892999999999999 0.0185617729685498 1.08680899735722 50 0.970520434639996
"Mats Básicos / Químicos" "2010" 1.228 0.0606689214057049 0.822739287919975 50 1.01032384556573
"Mats Básicos / Sid Metalurgia" "2010" 0.589 0.20720118040172 1.41547650473125 50 0.833715661286706
"Petróleo, Gás e Biocombustíveis" "2010" 0.681 0.0724052811148609 1.30881143214127 50 0.891300585288205
"Telecomunicação / Telefonia Fixa" "2010" 0.753999999999999 0.0694876441177187 1.23534202794176 50 0.931447889068086
"Telecomunicação / Telefonia Móvel" "2010" 0.728999999999999 0.111850125938342 1.16327898885751 50 0.848030382877124
"Utilidade Públ / Água Saneamento" "2010" 0.844999999999999 0.0583518308103816 1.1073743141556 50 0.935731295461481
"Bens Indls / Mat Transporte" "2012" 0.809999999999999 0.0277389569684564 1.14800428485575 50 0.929883470733156
"Cons N Cíclico / Bebidas" "2012" 0.883999999999999 0.0584312796970983 1.09583821573565 50 0.968720982710314
"Cons N Cíclico / Fumo" "2012" 0.731999999999999 0.134021409484842 1.22760472200295 50 0.898606656506158
"Cons N Cíclico / Pr Pessoal Limp" "2012" 0.730999999999999 0.0126899692228853 1.21178998274228 50 0.885818477384605
"Consumo Cíclico / Comércio" "2012" 0.786999999999999 0.0885658556319179 1.17147967954212 50 0.921954507799647
"Consumo Cíclico / Tecid Vest Calç" "2012" 0.827999999999999 0.144903088062197 1.13995487421763 50 0.943882635852196
"Mats Básicos / Mineração" "2012" 0.870999999999999 0.0422853738779355 1.10698457059147 50 0.964183560985169
"Mats Básicos / Químicos" "2012" 0.776999999999999 0.0311645525303092 1.15994517401003 50 0.901277400205792
"Mats Básicos / Sid Metalurgia" "2012" 0.821999999999999 0.0680835487114291 1.16002320476424 50 0.953539074316204
"Petróleo, Gás e Biocombustíveis" "2012" 0.888999999999999 0.0335082058346017 1.07244560725466 50 0.953404144849392
"Telecomunicação / Telefonia Fixa" "2012" 0.781999999999999 0.0954014792654802 1.18125675383533 50 0.923742781499227
"Telecomunicação / Telefonia Móvel" "2012" 0.847999999999999 0.0555594257238645 1.11761080192972 50 0.947733960036401
"Utilidade Públ / Água Saneamento" "2012" 1.012 0.0837373648104803 0.929923616572709 50 0.941082699971582
"Bens Indls / Mat Transporte" "2013" 0.790999999999999 0.0535459107287293 1.15993508938762 50 0.917508655705606
"Cons N Cíclico / Bebidas" "2013" 0.806999999999999 0.178923658217442 1.12728112965582 50 0.909715871632246
"Cons N Cíclico / Fumo" "2013" 0.683 0.0748530088957857 1.2680133048078 50 0.866053087183727
"Cons N Cíclico / Pr Pessoal Limp" "2013" 0.734999999999999 0.0177839413730892 1.19298546296524 50 0.87684431527945
"Consumo Cíclico / Comércio" "2013" 0.656 0.0742688540796222 1.37797045023647 50 0.903948615355124
"Consumo Cíclico / Tecid Vest Calç" "2013" 0.746999999999999 0.0689532943162639 1.23421101329025 50 0.921955626927816
"Mats Básicos / Mineração" "2013" 0.761999999999999 0.133978594866921 1.16931362889892 50 0.891016985220976
"Mats Básicos / Químicos" "2013" 0.881999999999999 0.0853106073833711 1.04158521335329 50 0.918678158177601
"Mats Básicos / Sid Metalurgia" "2013" 0.710999999999999 0.057319332580892 1.27523600233959 50 0.906692797663447
"Petróleo, Gás e Biocombustíveis" "2013" 0.930999999999999 0.0500137434789767 1.0504939450805 50 0.978009862869945
"Telecomunicação / Telefonia Fixa" "2013" 0.603 0.0749725001101767 1.41657050058189 50 0.85419201185088
"Telecomunicação / Telefonia Móvel" "2013" 0.759999999999999 0.0262605907149372 1.21747245887395 50 0.925279068744201
"Utilidade Públ / Água Saneamento" "2013" 0.810999999999999 0.0740596138791921 1.13913697031823 50 0.923840082928083
