"coeficiente_B","sse","volatilidade","incremento","tamanho_serie","b_volatilidade"
0.77,0.225776177122124,1.228797421326,0.09,48,0.94617401442102
0.77,0.213368812887797,1.228797421326,0.1,43,0.94617401442102
0.85,0.590405525159693,1.0918950785669,0.01,558,0.928110816781865
0.85,0.29403439495788,1.0918950785669,0.02,279,0.928110816781865
0.85,0.19545328123961,1.0918950785669,0.03,186,0.928110816781865
0.85,0.152182301715787,1.0918950785669,0.04,140,0.928110816781865
0.85,0.117104890266601,1.0918950785669,0.05,112,0.928110816781865
0.85,0.0999086074060097,1.0918950785669,0.06,93,0.928110816781865
0.85,0.0803285277692558,1.0918950785669,0.07,80,0.928110816781865
0.85,0.0792711659836108,1.0918950785669,0.08,70,0.928110816781865
0.85,0.06381607057642,1.0918950785669,0.09,62,0.928110816781865
0.85,0.0558619540330827,1.0918950785669,0.1,56,0.928110816781865
0.86,0.583901596438736,1.13502048614915,0.01,612,0.976117618088269
0.86,0.293495991613578,1.13502048614915,0.02,306,0.976117618088269
0.86,0.194537587203605,1.13502048614915,0.03,204,0.976117618088269
0.86,0.144951615411227,1.13502048614915,0.04,153,0.976117618088269
0.86,0.117499366906657,1.13502048614915,0.05,123,0.976117618088269
0.86,0.0968598714900468,1.13502048614915,0.06,102,0.976117618088269
0.86,0.0850498209059416,1.13502048614915,0.07,88,0.976117618088269
0.86,0.0703407902106448,1.13502048614915,0.08,77,0.976117618088269
0.86,0.0606301487475622,1.13502048614915,0.09,68,0.976117618088269
0.85,0.0593181233712854,1.13502048614915,0.1,62,0.964767413226777
0.71,1.41344677981078,1.34699411595473,0.01,570,0.956365822327858
0.71,0.708446659211178,1.34699411595473,0.02,285,0.956365822327858
0.71,0.475377702714763,1.34699411595473,0.03,190,0.956365822327858
0.71,0.354588206269458,1.34699411595473,0.04,143,0.956365822327858
0.71,0.275771048101586,1.34699411595473,0.05,114,0.956365822327858
0.71,0.241654552787408,1.34699411595473,0.06,95,0.956365822327858
0.71,0.200910818777794,1.34699411595473,0.07,82,0.956365822327858
0.71,0.175175188931076,1.34699411595473,0.08,72,0.956365822327858
0.71,0.153566995712819,1.34699411595473,0.09,64,0.956365822327858
0.71,0.137245186600068,1.34699411595473,0.1,57,0.956365822327858
0.9,2.59377830398966,1.06728650788377,0.01,365,0.960557857095393
0.9,1.28990612292187,1.06728650788377,0.02,183,0.960557857095393
0.9,0.882413426074145,1.06728650788377,0.03,122,0.960557857095393
0.9,0.646980205639601,1.06728650788377,0.04,92,0.960557857095393
0.9,0.512731084705773,1.06728650788377,0.05,73,0.960557857095393
0.9,0.44292223392777,1.06728650788377,0.06,61,0.960557857095393
0.9,0.370686262679325,1.06728650788377,0.07,53,0.960557857095393
0.9,0.323862058425787,1.06728650788377,0.08,46,0.960557857095393
0.9,0.296767096815688,1.06728650788377,0.09,41,0.960557857095393
0.9,0.265904060846035,1.06728650788377,0.1,37,0.960557857095393
0.84,0.448317579162508,1.15608795479987,0.01,515,0.971113882031891
0.84,0.224045157757098,1.15608795479987,0.02,258,0.971113882031891
