"volatilidade" "coeficiente_B" "cluster" "ano" "setor"
1.01505205919476 0.95 2 2009 "Mats Básicos / Químicos"
1.1824117493217 0.83 2 2009 "Mats Básicos / Químicos"
1.17747103872307 0.69 2 2009 "Mats Básicos / Químicos"
1.80917443923297 0.44 2 2009 "Mats Básicos / Químicos"
1.36465478233107 0.68 2 2009 "Mats Básicos / Químicos"
1.2185079407714 0.68 2 2009 "Mats Básicos / Químicos"
0.752127358575655 1.37 1 2009 "Mats Básicos / Sid Metalurgia"
1.27892621503426 0.74 2 2009 "Mats Básicos / Sid Metalurgia"
0.80077074827262 1.23 1 2009 "Mats Básicos / Sid Metalurgia"
1.03074290876586 0.96 2 2009 "Mats Básicos / Sid Metalurgia"
1.18917722027886 0.79 2 2009 "Mats Básicos / Sid Metalurgia"
1.41081312958584 0.64 2 2009 "Mats Básicos / Sid Metalurgia"
1.73309240756631 0.49 2 2009 "Mats Básicos / Sid Metalurgia"
1.64344300887279 0.48 2 2009 "Mats Básicos / Sid Metalurgia"
0.829377700436607 1.19 1 2009 "Petróleo, Gás e Biocombustíveis"
1.02027657903503 0.95 2 2009 "Petróleo, Gás e Biocombustíveis"
0.703894630021074 1.47 1 2009 "Petróleo, Gás e Biocombustíveis"
1.02327695503604 0.91 2 2009 "Petróleo, Gás e Biocombustíveis"
1.15623279894534 0.78 2 2009 "Petróleo, Gás e Biocombustíveis"
1.17158358101503 0.88 2 2009 "Petróleo, Gás e Biocombustíveis"
1.52881024093578 0.63 2 2009 "Petróleo, Gás e Biocombustíveis"
1.6771945012592 0.56 2 2009 "Petróleo, Gás e Biocombustíveis"
1.09115482080972 0.89 2 2009 "Telecomunicação / Telefonia Fixa"
1.19038600730164 0.78 2 2009 "Telecomunicação / Telefonia Fixa"
0.894559858198008 1.03 1 2009 "Telecomunicação / Telefonia Fixa"
0.897457512117391 1.08 1 2009 "Telecomunicação / Telefonia Fixa"
1.18659324383971 0.77 2 2009 "Telecomunicação / Telefonia Fixa"
1.41693825408924 0.6 2 2009 "Telecomunicação / Telefonia Fixa"
1.62364666706544 0.49 2 2009 "Telecomunicação / Telefonia Fixa"
1.56927834459918 0.49 2 2009 "Telecomunicação / Telefonia Fixa"
1.17840518618536 0.74 2 2009 "Telecomunicação / Telefonia Móvel"
1.2916126974605 0.8 2 2009 "Telecomunicação / Telefonia Móvel"
0.797055779657963 1.14 1 2009 "Telecomunicação / Telefonia Móvel"
1.02618032832132 0.84 2 2009 "Telecomunicação / Telefonia Móvel"
1.0498252836882 0.98 2 2009 "Telecomunicação / Telefonia Móvel"
1.71311459487594 0.41 2 2009 "Telecomunicação / Telefonia Móvel"
1.17758927632703 0.67 2 2009 "Telecomunicação / Telefonia Móvel"
1.47513750686305 0.52 2 2009 "Telecomunicação / Telefonia Móvel"
0.806663317034756 1.17 1 2009 "Utilidade Públ / Água Saneamento"
0.85213958669485 1 1 2009 "Utilidade Públ / Água Saneamento"
0.789158129947762 1.15 1 2009 "Utilidade Públ / Água Saneamento"
0.997944105176227 0.98 2 2009 "Utilidade Públ / Água Saneamento"
1.43297495132835 0.62 2 2009 "Utilidade Públ / Água Saneamento"
1.38142508406401 0.71 2 2009 "Utilidade Públ / Água Saneamento"
1.36428468243088 0.53 2 2009 "Utilidade Públ / Água Saneamento"
1.53407833312876 0.53 2 2009 "Utilidade Públ / Água Saneamento"
0.62971575359705 1.42 1 2010 "Bens Indls / Mat Transporte"
0.732247422108348 1.36 1 2010 "Bens Indls / Mat Transporte"
1.18257606858199 1.02 2 2010 "Bens Indls / Mat Transporte"
0.837825738845474 1.22 1 2010 "Bens Indls / Mat Transporte"
0.885650180119696 1.02 1 2010 "Bens Indls / Mat Transporte"
0.638038923958819 1.37 1 2010 "Bens Indls / Mat Transporte"
0.546623934653027 1.86 1 2010 "Bens Indls / Mat Transporte"
0.835895697628447 1.18 1 2010 "Bens Indls / Mat Transporte"
0.904256700739304 0.95 1 2010 "Cons N Cíclico / Bebidas"
1.17181135900831 0.73 2 2010 "Cons N Cíclico / Bebidas"
1.31589346985879 0.66 2 2010 "Cons N Cíclico / Bebidas"
0.740004259742271 1.24 1 2010 "Cons N Cíclico / Bebidas"
1.40899654899382 0.72 2 2010 "Cons N Cíclico / Bebidas"
1.06725225472711 0.89 2 2010 "Cons N Cíclico / Bebidas"
0.823894042165266 1.19 1 2010 "Cons N Cíclico / Bebidas"
1.21605810964077 0.75 2 2010 "Cons N Cíclico / Bebidas"
0.759501947698698 1.31 1 2010 "Cons N Cíclico / Fumo"
0.968544682386016 0.9 2 2010 "Cons N Cíclico / Fumo"
1.07952105387607 0.78 2 2010 "Cons N Cíclico / Fumo"
1.22047811349587 0.86 2 2010 "Cons N Cíclico / Fumo"
0.958394742921894 1.1 1 2010 "Cons N Cíclico / Fumo"
0.810937925925166 1.05 1 2010 "Cons N Cíclico / Fumo"
1.27075478737818 0.9 2 2010 "Cons N Cíclico / Fumo"
1.36040400177563 0.66 2 2010 "Cons N Cíclico / Fumo"
1.27887712146365 0.67 2 2010 "Cons N Cíclico / Pr Pessoal Limp"
1.28326532014334 0.64 2 2010 "Cons N Cíclico / Pr Pessoal Limp"
0.972772958385454 0.98 2 2010 "Cons N Cíclico / Pr Pessoal Limp"
1.60587245060502 0.48 2 2010 "Cons N Cíclico / Pr Pessoal Limp"
1.30107525087004 0.66 2 2010 "Cons N Cíclico / Pr Pessoal Limp"
1.20921497318208 0.74 2 2010 "Cons N Cíclico / Pr Pessoal Limp"
0.926868473269225 1.06 1 2010 "Cons N Cíclico / Pr Pessoal Limp"
1.68472352138872 0.53 2 2010 "Cons N Cíclico / Pr Pessoal Limp"
1.03992132510243 0.91 2 2010 "Consumo Cíclico / Comércio"
1.1404380377378 0.84 2 2010 "Consumo Cíclico / Comércio"
1.27629212077921 0.8 2 2010 "Consumo Cíclico / Comércio"
1.31837741237606 0.69 2 2010 "Consumo Cíclico / Comércio"
1.33053286513079 0.69 2 2010 "Consumo Cíclico / Comércio"
1.5023061308747 0.56 2 2010 "Consumo Cíclico / Comércio"
1.04499995756123 0.88 2 2010 "Consumo Cíclico / Comércio"
1.21788077188335 0.78 2 2010 "Consumo Cíclico / Comércio"
0.233484751139315 4.22 3 2010 "Consumo Cíclico / Tecid Vest Calç"
0.698753492325311 5.08 3 2010 "Consumo Cíclico / Tecid Vest Calç"
0.314464499151918 3.14 3 2010 "Consumo Cíclico / Tecid Vest Calç"
0.266446297469733 3.75 3 2010 "Consumo Cíclico / Tecid Vest Calç"
0.259766740686822 4.41 3 2010 "Consumo Cíclico / Tecid Vest Calç"
0.291992328626789 3.53 3 2010 "Consumo Cíclico / Tecid Vest Calç"
0.126815160809323 7.92 3 2010 "Consumo Cíclico / Tecid Vest Calç"
0.285354848095306 3.09 3 2010 "Consumo Cíclico / Tecid Vest Calç"
0.869321770683064 1.12 1 2010 "Mats Básicos / Mineração"
0.775495385229188 1.26 1 2010 "Mats Básicos / Mineração"
1.1630074971944 0.81 2 2010 "Mats Básicos / Mineração"
0.92704998868362 1.21 1 2010 "Mats Básicos / Mineração"
1.71608976717436 0.53 2 2010 "Mats Básicos / Mineração"
1.42109225683598 0.66 2 2010 "Mats Básicos / Mineração"
0.817736639222857 1.25 1 2010 "Mats Básicos / Mineração"
1.15182734947937 0.86 2 2010 "Mats Básicos / Mineração"
0.672545824374306 1.42 1 2010 "Mats Básicos / Químicos"
0.640594472948177 1.42 1 2010 "Mats Básicos / Químicos"
1.39150702911625 0.98 2 2010 "Mats Básicos / Químicos"
0.633943919230672 1.73 1 2010 "Mats Básicos / Químicos"
0.775105193930463 1.17 1 2010 "Mats Básicos / Químicos"
0.787822909844625 1.28 1 2010 "Mats Básicos / Químicos"
0.377920933294394 2.62 1 2010 "Mats Básicos / Químicos"
0.665532681438304 1.61 1 2010 "Mats Básicos / Químicos"
1.47277689793858 0.57 2 2010 "Mats Básicos / Sid Metalurgia"
1.10047412729791 0.87 2 2010 "Mats Básicos / Sid Metalurgia"
1.05016136833439 0.92 2 2010 "Mats Básicos / Sid Metalurgia"
1.23234370188434 0.76 2 2010 "Mats Básicos / Sid Metalurgia"
1.70151479393455 0.48 2 2010 "Mats Básicos / Sid Metalurgia"
1.46135482027224 0.61 2 2010 "Mats Básicos / Sid Metalurgia"
1.23076609359956 0.76 2 2010 "Mats Básicos / Sid Metalurgia"
1.24788301676729 0.78 2 2010 "Mats Básicos / Sid Metalurgia"
1.0407485816818 0.92 2 2010 "Petróleo, Gás e Biocombustíveis"
1.37623422147571 0.68 2 2010 "Petróleo, Gás e Biocombustíveis"
1.59032097467767 0.51 2 2010 "Petróleo, Gás e Biocombustíveis"
1.01122560349235 1 2 2010 "Petróleo, Gás e Biocombustíveis"
1.53619277936297 0.64 2 2010 "Petróleo, Gás e Biocombustíveis"
1.24809418527764 0.74 2 2010 "Petróleo, Gás e Biocombustíveis"
0.743234261349246 1.27 1 2010 "Petróleo, Gás e Biocombustíveis"
1.07964362603272 0.92 2 2010 "Petróleo, Gás e Biocombustíveis"
1.25472156247474 0.69 2 2010 "Telecomunicação / Telefonia Fixa"
1.07573151367177 0.85 2 2010 "Telecomunicação / Telefonia Fixa"
1.13583524614982 1.03 2 2010 "Telecomunicação / Telefonia Fixa"
0.980746662671897 0.97 2 2010 "Telecomunicação / Telefonia Fixa"
1.52641128474896 0.56 2 2010 "Telecomunicação / Telefonia Fixa"
1.08985938599438 0.8 2 2010 "Telecomunicação / Telefonia Fixa"
0.864834282996447 1.21 1 2010 "Telecomunicação / Telefonia Fixa"
0.918181608460812 1.14 1 2010 "Telecomunicação / Telefonia Fixa"
1.01216568307641 0.8 2 2010 "Telecomunicação / Telefonia Móvel"
1.22233444790432 0.71 2 2010 "Telecomunicação / Telefonia Móvel"
0.989883160714077 0.93 2 2010 "Telecomunicação / Telefonia Móvel"
1.23242363763754 0.7 2 2010 "Telecomunicação / Telefonia Móvel"
1.35958801495519 0.71 2 2010 "Telecomunicação / Telefonia Móvel"
1.22383988572377 0.77 2 2010 "Telecomunicação / Telefonia Móvel"
0.951992462427226 1.04 1 2010 "Telecomunicação / Telefonia Móvel"
1.52544871345463 0.55 2 2010 "Telecomunicação / Telefonia Móvel"
1.33328774744409 0.87 2 2010 "Utilidade Públ / Água Saneamento"
1.26240982906033 0.77 2 2010 "Utilidade Públ / Água Saneamento"
1.25459494921123 0.69 2 2010 "Utilidade Públ / Água Saneamento"
0.711679239142109 1.32 1 2010 "Utilidade Públ / Água Saneamento"
0.974899805920212 0.95 2 2010 "Utilidade Públ / Água Saneamento"
1.10655722623471 0.88 2 2010 "Utilidade Públ / Água Saneamento"
0.828674774875139 1.29 1 2010 "Utilidade Públ / Água Saneamento"
1.10046548421706 0.8 2 2010 "Utilidade Públ / Água Saneamento"
